Date,VIX
01/21/2020,12.85
01/22/2020,12.91
01/23/2020,12.98
01/24/2020,14.56
01/27/2020,18.23
01/28/2020,16.28
01/29/2020,16.39
01/30/2020,15.49
01/31/2020,18.84
02/03/2020,17.97
02/04/2020,16.05
02/05/2020,15.15
02/06/2020,14.96
02/07/2020,15.47
02/10/2020,15.04
02/11/2020,15.18
02/12/2020,13.74
02/13/2020,14.15
02/14/2020,13.68
02/18/2020,14.83
02/19/2020,14.38
02/20/2020,15.56
02/21/2020,17.08
02/24/2020,25.03
02/25/2020,27.85
02/26/2020,27.56
02/27/2020,39.16
02/28/2020,40.11
03/02/2020,33.42
03/03/2020,36.82
03/04/2020,31.99
03/05/2020,39.62
03/06/2020,41.94
03/09/2020,54.46
03/10/2020,47.3
03/11/2020,53.9
03/12/2020,75.47
03/13/2020,57.83
03/16/2020,82.69
03/17/2020,75.91
03/18/2020,76.45
03/19/2020,72
03/20/2020,66.04
03/23/2020,61.59
03/24/2020,61.67
03/25/2020,63.95
03/26/2020,61
03/27/2020,65.54
03/30/2020,57.08
03/31/2020,53.54
04/01/2020,57.06
04/02/2020,50.91
04/03/2020,46.8
04/06/2020,45.24
04/07/2020,46.7
04/08/2020,43.35
04/09/2020,41.67
04/13/2020,41.17
04/14/2020,37.76
04/15/2020,40.84
04/16/2020,40.11
04/17/2020,38.15
04/20/2020,43.83
04/21/2020,45.41
04/22/2020,41.98
04/23/2020,41.38
04/24/2020,35.93
04/27/2020,33.29
04/28/2020,33.57
04/29/2020,31.23
04/30/2020,34.15
05/01/2020,37.19
05/04/2020,35.97
05/05/2020,33.61
05/06/2020,34.12
05/07/2020,31.44
05/08/2020,27.98
05/11/2020,27.57
05/12/2020,33.04
05/13/2020,35.28
05/14/2020,32.61
05/15/2020,31.89
05/18/2020,29.3
05/19/2020,30.53
05/20/2020,27.99
05/21/2020,29.53
05/22/2020,28.16
05/26/2020,28.01
05/27/2020,27.62
05/28/2020,28.59
05/29/2020,27.51
06/01/2020,28.23
06/02/2020,26.84
06/03/2020,25.66
06/04/2020,25.81
06/05/2020,24.52
06/08/2020,25.81
06/09/2020,27.57
06/10/2020,27.57
06/11/2020,40.79
06/12/2020,36.09
06/15/2020,34.4
06/16/2020,33.67
06/17/2020,33.47
06/18/2020,32.94
06/19/2020,35.12
06/22/2020,31.77
06/23/2020,31.37
06/24/2020,33.84
06/25/2020,32.22
06/26/2020,34.73
06/29/2020,31.78
06/30/2020,30.43
07/01/2020,28.62
07/02/2020,27.68
07/06/2020,27.94
07/07/2020,29.43
07/08/2020,28.08
07/09/2020,29.26
07/10/2020,27.29
07/13/2020,32.19
07/14/2020,29.52
07/15/2020,27.76
07/16/2020,28
07/17/2020,25.68
07/20/2020,24.46
07/21/2020,24.84
07/22/2020,24.32
07/23/2020,26.08
07/24/2020,25.84
07/27/2020,24.74
07/28/2020,25.44
07/29/2020,24.1
07/30/2020,24.76
07/31/2020,24.46
08/03/2020,24.28
08/04/2020,23.76
08/05/2020,22.99
08/06/2020,22.65
08/07/2020,22.21
08/10/2020,22.13
08/11/2020,24.03
08/12/2020,22.28
08/13/2020,22.13
08/14/2020,22.05
08/17/2020,21.35
08/18/2020,21.51
08/19/2020,22.54
08/20/2020,22.72
08/21/2020,22.54
08/24/2020,22.37
08/25/2020,22.03
08/26/2020,23.27
08/27/2020,24.47
08/28/2020,22.96
08/31/2020,26.41
09/01/2020,26.12
09/02/2020,26.57
09/03/2020,33.6
09/04/2020,30.75
09/08/2020,31.46
09/09/2020,28.81
09/10/2020,29.71
09/11/2020,26.87
09/14/2020,25.85
09/15/2020,25.59
09/16/2020,26.04
09/17/2020,26.46
09/18/2020,25.83
09/21/2020,27.78
09/22/2020,26.86
09/23/2020,28.58
09/24/2020,28.51
09/25/2020,26.38
09/28/2020,26.19
09/29/2020,26.27
09/30/2020,26.37
10/01/2020,26.7
10/02/2020,27.63
10/05/2020,27.96
10/06/2020,29.48
10/07/2020,28.06
10/08/2020,26.36
10/09/2020,25
10/12/2020,25.07
10/13/2020,26.07
10/14/2020,26.4
10/15/2020,26.97
10/16/2020,27.41
10/19/2020,29.18
10/20/2020,29.35
10/21/2020,28.65
10/22/2020,28.11
10/23/2020,27.55
10/26/2020,32.46
10/27/2020,33.35
10/28/2020,40.28
10/29/2020,37.59
10/30/2020,38.02
11/02/2020,37.13
11/03/2020,35.55
11/04/2020,29.57
11/05/2020,27.58
11/06/2020,24.86
11/09/2020,25.75
11/10/2020,24.8
11/11/2020,23.45
11/12/2020,25.35
11/13/2020,23.1
11/16/2020,22.45
11/17/2020,22.71
11/18/2020,23.84
11/19/2020,23.11
11/20/2020,23.7
11/23/2020,22.66
11/24/2020,21.64
11/25/2020,21.25
11/27/2020,20.84
11/30/2020,20.57
12/01/2020,20.77
12/02/2020,21.17
12/03/2020,21.28
12/04/2020,20.79
12/07/2020,21.3
12/08/2020,20.68
12/09/2020,22.27
12/10/2020,22.52
12/11/2020,23.31
12/14/2020,24.72
12/15/2020,22.89
12/16/2020,22.5
12/17/2020,21.93
12/18/2020,21.57
12/21/2020,25.16
12/22/2020,24.23
12/23/2020,23.31
12/24/2020,21.53
12/28/2020,21.7
12/29/2020,23.08
12/30/2020,22.77
12/31/2020,22.75
01/04/2021,26.97
01/05/2021,25.34
01/06/2021,25.07
01/07/2021,22.37
01/08/2021,21.56
01/11/2021,24.08
01/12/2021,23.33
01/13/2021,22.21
01/14/2021,23.25
01/15/2021,24.34
01/19/2021,23.24
01/20/2021,21.58
01/21/2021,21.32
01/22/2021,21.91
01/25/2021,23.19
01/26/2021,23.02
01/27/2021,37.21
01/28/2021,30.21
01/29/2021,33.09
02/01/2021,30.24
02/02/2021,25.56
02/03/2021,22.91
02/04/2021,21.77
02/05/2021,20.87
02/08/2021,21.24
02/09/2021,21.63
02/10/2021,21.99
02/11/2021,21.25
02/12/2021,19.97
02/16/2021,21.46
02/17/2021,21.5
02/18/2021,22.49
02/19/2021,22.05
02/22/2021,23.45
02/23/2021,23.11
02/24/2021,21.34
02/25/2021,28.89
02/26/2021,27.95
03/01/2021,23.35
03/02/2021,24.1
03/03/2021,26.67
03/04/2021,28.57
03/05/2021,24.66
03/08/2021,25.47
03/09/2021,24.03
03/10/2021,22.56
03/11/2021,21.91
03/12/2021,20.69
03/15/2021,20.03
03/16/2021,19.79
03/17/2021,19.23
03/18/2021,21.58
03/19/2021,20.95
03/22/2021,18.88
03/23/2021,20.3
03/24/2021,21.2
03/25/2021,19.81
03/26/2021,18.86
03/29/2021,20.74
03/30/2021,19.61
03/31/2021,19.4
04/01/2021,17.33
04/05/2021,17.91
04/06/2021,18.12
04/07/2021,17.16
04/08/2021,16.95
04/09/2021,16.69
04/12/2021,16.91
04/13/2021,16.65
04/14/2021,16.99
04/15/2021,16.57
04/16/2021,16.25
04/19/2021,17.29
04/20/2021,18.68
04/21/2021,17.5
04/22/2021,18.71
04/23/2021,17.33
04/26/2021,17.64
04/27/2021,17.56
04/28/2021,17.28
04/29/2021,17.61
04/30/2021,18.61
05/03/2021,18.31
05/04/2021,19.48
05/05/2021,19.15
05/06/2021,18.39
05/07/2021,16.69
05/10/2021,19.66
05/11/2021,21.84
05/12/2021,27.59
05/13/2021,23.13
05/14/2021,18.81
05/17/2021,19.72
05/18/2021,21.34
05/19/2021,22.18
05/20/2021,20.67
05/21/2021,20.15
05/24/2021,18.4
05/25/2021,18.84
05/26/2021,17.36
05/27/2021,16.74
05/28/2021,16.76
06/01/2021,17.9
06/02/2021,17.48
06/03/2021,18.04
06/04/2021,16.42
06/07/2021,16.42
06/08/2021,17.07
06/09/2021,17.89
06/10/2021,16.1
06/11/2021,15.65
06/14/2021,16.39
06/15/2021,17.02
06/16/2021,18.15
06/17/2021,17.75
06/18/2021,20.7
06/21/2021,17.89
06/22/2021,16.66
06/23/2021,16.32
06/24/2021,15.97
06/25/2021,15.62
06/28/2021,15.76
06/29/2021,16.02
06/30/2021,15.83
07/01/2021,15.48
07/02/2021,15.07
07/06/2021,16.44
07/07/2021,16.2
07/08/2021,19
07/09/2021,16.18
07/12/2021,16.17
07/13/2021,17.12
07/14/2021,16.33
07/15/2021,17.01
07/16/2021,18.45
07/19/2021,22.5
07/20/2021,19.73
07/21/2021,17.91
07/22/2021,17.69
07/23/2021,17.2
07/26/2021,17.58
07/27/2021,19.36
07/28/2021,18.31
07/29/2021,17.7
07/30/2021,18.24
08/02/2021,19.46
08/03/2021,18.04
08/04/2021,17.97
08/05/2021,17.28
08/06/2021,16.15
08/09/2021,16.72
08/10/2021,16.79
08/11/2021,16.06
08/12/2021,15.59
08/13/2021,15.45
08/16/2021,16.12
08/17/2021,17.91
08/18/2021,21.57
08/19/2021,21.67
08/20/2021,18.56
08/23/2021,17.15
08/24/2021,17.22
08/25/2021,16.79
08/26/2021,18.84
08/27/2021,16.39
08/30/2021,16.19
08/31/2021,16.48
09/01/2021,16.11
09/02/2021,16.41
09/03/2021,16.41
09/07/2021,18.14
09/08/2021,17.96
09/09/2021,18.8
09/10/2021,20.95
09/13/2021,19.37
09/14/2021,19.46
09/15/2021,18.18
09/16/2021,18.69
09/17/2021,20.81
09/20/2021,25.71
09/21/2021,24.36
09/22/2021,20.87
09/23/2021,18.63
09/24/2021,17.75
09/27/2021,18.76
09/28/2021,23.25
09/29/2021,22.56
09/30/2021,23.14
10/01/2021,21.15
10/04/2021,22.96
10/05/2021,21.3
10/06/2021,21
10/07/2021,19.54
10/08/2021,18.77
10/11/2021,20
10/12/2021,19.85
10/13/2021,18.64
10/14/2021,16.86
10/15/2021,16.3
10/18/2021,16.31
10/19/2021,15.7
10/20/2021,15.49
10/21/2021,15.01
10/22/2021,15.43
10/25/2021,15.24
10/26/2021,15.98
10/27/2021,16.98
10/28/2021,16.53
10/29/2021,16.26
11/01/2021,16.41
11/02/2021,16.03
11/03/2021,15.1
11/04/2021,15.44
11/05/2021,16.48
11/08/2021,17.22
11/09/2021,17.78
11/10/2021,18.73
11/11/2021,17.66
11/12/2021,16.29
11/15/2021,16.49
11/16/2021,16.37
11/17/2021,17.11
11/18/2021,17.59
11/19/2021,17.91
11/22/2021,19.17
11/23/2021,19.38
11/24/2021,18.58
